Name,Round,System,Parameter,Value,Month
GN2C,Round 1 (March),Hand pump,Ecoli(CFU/100mL),,Mar-20
GN2M,Round 1 (March),Mechanized borehole,Ecoli(CFU/100mL),,Mar-20
DA1,Round 1 (March),Hand pump,Ecoli(CFU/100mL),,Mar-20
DA2,Round 1 (March),Hand pump,Ecoli(CFU/100mL),,Mar-20
DJ,Round 1 (March),Hand pump,Ecoli(CFU/100mL),,Mar-20
KEN,Round 1 (March),Mechanized borehole,Ecoli(CFU/100mL),,Mar-20
OLA,Round 1 (March),Piped system,Ecoli(CFU/100mL),,Mar-20
KPS,Round 1 (March),Piped system,Ecoli(CFU/100mL),,Mar-20
NR,Round 1 (March),Piped system,Ecoli(CFU/100mL),,Mar-20
NPS,Round 1 (March),Piped system,Ecoli(CFU/100mL),,Mar-20
GN2C,Round 2 (April),Hand pump,Ecoli(CFU/100mL),,Apr-20
GN2M,Round 2 (April),Mechanized borehole,Ecoli(CFU/100mL),,Apr-20
DA1,Round 2 (April),Hand pump,Ecoli(CFU/100mL),,Apr-20
DA2,Round 2 (April),Hand pump,Ecoli(CFU/100mL),,Apr-20
DJ,Round 2 (April),Hand pump,Ecoli(CFU/100mL),,Apr-20
KEN,Round 2 (April),Mechanized borehole,Ecoli(CFU/100mL),,Apr-20
OLA,Round 2 (April),Piped system,Ecoli(CFU/100mL),,Apr-20
KPS,Round 2 (April),Piped system,Ecoli(CFU/100mL),,Apr-20
NR,Round 2 (April),Piped system,Ecoli(CFU/100mL),,Apr-20
NPS,Round 2 (April),Piped system,Ecoli(CFU/100mL),,Apr-20
GN2C,Round 3 (May),Hand pump,Ecoli(CFU/100mL),Low,May-20
GN2M,Round 3 (May),Mechanized borehole,Ecoli(CFU/100mL),High,May-20
DA1,Round 3 (May),Hand pump,Ecoli(CFU/100mL),Low,May-20
DA2,Round 3 (May),Hand pump,Ecoli(CFU/100mL),High,May-20
DJ,Round 3 (May),Hand pump,Ecoli(CFU/100mL),High,May-20
KEN,Round 3 (May),Mechanized borehole,Ecoli(CFU/100mL),High,May-20
OLA,Round 3 (May),Piped system,Ecoli(CFU/100mL),Intermediate,May-20
KPS,Round 3 (May),Piped system,Ecoli(CFU/100mL),High,May-20
NR,Round 3 (May),Piped system,Ecoli(CFU/100mL),Low,May-20
NPS,Round 3 (May),Piped system,Ecoli(CFU/100mL),Intermediate,May-20
GN2C,Round 4 (June),Hand pump,Ecoli(CFU/100mL),Intermediate,Jun-20
GN2M,Round 4 (June),Mechanized borehole,Ecoli(CFU/100mL),Low,Jun-20
DA1,Round 4 (June),Hand pump,Ecoli(CFU/100mL),Intermediate,Jun-20
DA2,Round 4 (June),Hand pump,Ecoli(CFU/100mL),Low,Jun-20
DJ,Round 4 (June),Hand pump,Ecoli(CFU/100mL),Low,Jun-20
KEN,Round 4 (June),Mechanized borehole,Ecoli(CFU/100mL),Low,Jun-20
OLA,Round 4 (June),Piped system,Ecoli(CFU/100mL),Intermediate,Jun-20
KPS,Round 4 (June),Piped system,Ecoli(CFU/100mL),Intermediate,Jun-20
NR,Round 4 (June),Piped system,Ecoli(CFU/100mL),Low,Jun-20
NPS,Round 4 (June),Piped system,Ecoli(CFU/100mL),Low,Jun-20
GN2C,Round 5 (July),Hand pump,Ecoli(CFU/100mL),High,Jul-20
GN2M,Round 5 (July),Mechanized borehole,Ecoli(CFU/100mL),High,Jul-20
DA1,Round 5 (July),Hand pump,Ecoli(CFU/100mL),Low,Jul-20
DA2,Round 5 (July),Hand pump,Ecoli(CFU/100mL),Low,Jul-20
DJ,Round 5 (July),Hand pump,Ecoli(CFU/100mL),Intermediate,Jul-20
KEN,Round 5 (July),Mechanized borehole,Ecoli(CFU/100mL),Intermediate,Jul-20
OLA,Round 5 (July),Piped system,Ecoli(CFU/100mL),Intermediate,Jul-20
KPS,Round 5 (July),Piped system,Ecoli(CFU/100mL),Low,Jul-20
NR,Round 5 (July),Piped system,Ecoli(CFU/100mL),Low,Jul-20
NPS,Round 5 (July),Piped system,Ecoli(CFU/100mL),Intermediate,Jul-20
GN2C,Round 1 (March),Hand pump,pH,5.6,Mar-20
GN2M,Round 1 (March),Mechanized borehole,pH,5.8,Mar-20
DA1,Round 1 (March),Hand pump,pH,6.3,Mar-20
DA2,Round 1 (March),Hand pump,pH,6,Mar-20
DJ,Round 1 (March),Hand pump,pH,5.6,Mar-20
KEN,Round 1 (March),Mechanized borehole,pH,5.4,Mar-20
OLA,Round 1 (March),Piped system,pH,6.8,Mar-20
KPS,Round 1 (March),Piped system,pH,6.4,Mar-20
NR,Round 1 (March),Piped system,pH,6.2,Mar-20
NPS,Round 1 (March),Piped system,pH,6.7,Mar-20
GN2C,Round 2 (April),Hand pump,pH,5.9,Apr-20
GN2M,Round 2 (April),Mechanized borehole,pH,5.8,Apr-20
DA1,Round 2 (April),Hand pump,pH,6.9,Apr-20
DA2,Round 2 (April),Hand pump,pH,6.6,Apr-20
DJ,Round 2 (April),Hand pump,pH,5.2,Apr-20
KEN,Round 2 (April),Mechanized borehole,pH,5.4,Apr-20
OLA,Round 2 (April),Piped system,pH,7.1,Apr-20
KPS,Round 2 (April),Piped system,pH,6.3,Apr-20
NR,Round 2 (April),Piped system,pH,6.3,Apr-20
NPS,Round 2 (April),Piped system,pH,7.1,Apr-20
GN2C,Round 3 (May),Hand pump,pH,5.9,May-20
GN2M,Round 3 (May),Mechanized borehole,pH,5.8,May-20
DA1,Round 3 (May),Hand pump,pH,6.2,May-20
DA2,Round 3 (May),Hand pump,pH,5.7,May-20
DJ,Round 3 (May),Hand pump,pH,5.5,May-20
KEN,Round 3 (May),Mechanized borehole,pH,5.7,May-20
OLA,Round 3 (May),Piped system,pH,7.2,May-20
KPS,Round 3 (May),Piped system,pH,6.4,May-20
NR,Round 3 (May),Piped system,pH,6.4,May-20
NPS,Round 3 (May),Piped system,pH,7,May-20
GN2C,Round 4 (June),Hand pump,pH,6,Jun-20
GN2M,Round 4 (June),Mechanized borehole,pH,5.9,Jun-20
DA1,Round 4 (June),Hand pump,pH,6.1,Jun-20
DA2,Round 4 (June),Hand pump,pH,7,Jun-20
DJ,Round 4 (June),Hand pump,pH,5.2,Jun-20
KEN,Round 4 (June),Mechanized borehole,pH,5.1,Jun-20
OLA,Round 4 (June),Piped system,pH,7.5,Jun-20
KPS,Round 4 (June),Piped system,pH,6.2,Jun-20
NR,Round 4 (June),Piped system,pH,6.4,Jun-20
NPS,Round 4 (June),Piped system,pH,6.8,Jun-20
GN2C,Round 5 (July),Hand pump,pH,6.7,Jul-20
GN2M,Round 5 (July),Mechanized borehole,pH,6.3,Jul-20
DA1,Round 5 (July),Hand pump,pH,6.7,Jul-20
DA2,Round 5 (July),Hand pump,pH,7.2,Jul-20
DJ,Round 5 (July),Hand pump,pH,5.8,Jul-20
KEN,Round 5 (July),Mechanized borehole,pH,5.2,Jul-20
OLA,Round 5 (July),Piped system,pH,7.2,Jul-20
KPS,Round 5 (July),Piped system,pH,6.6,Jul-20
NR,Round 5 (July),Piped system,pH,6.8,Jul-20
NPS,Round 5 (July),Piped system,pH,7,Jul-20
GN2C,Round 1 (March),Hand pump,Turbidity (NTU),0.21,Mar-20
GN2M,Round 1 (March),Mechanized borehole,Turbidity (NTU),1.28,Mar-20
DA1,Round 1 (March),Hand pump,Turbidity (NTU),0,Mar-20
DA2,Round 1 (March),Hand pump,Turbidity (NTU),0,Mar-20
DJ,Round 1 (March),Hand pump,Turbidity (NTU),0,Mar-20
KEN,Round 1 (March),Mechanized borehole,Turbidity (NTU),0,Mar-20
OLA,Round 1 (March),Piped system,Turbidity (NTU),46.59,Mar-20
KPS,Round 1 (March),Piped system,Turbidity (NTU),0,Mar-20
NR,Round 1 (March),Piped system,Turbidity (NTU),0,Mar-20
NPS,Round 1 (March),Piped system,Turbidity (NTU),0,Mar-20
GN2C,Round 2 (April),Hand pump,Turbidity (NTU),0.01,Apr-20
GN2M,Round 2 (April),Mechanized borehole,Turbidity (NTU),0,Apr-20
DA1,Round 2 (April),Hand pump,Turbidity (NTU),0.02,Apr-20
DA2,Round 2 (April),Hand pump,Turbidity (NTU),0,Apr-20
DJ,Round 2 (April),Hand pump,Turbidity (NTU),0,Apr-20
KEN,Round 2 (April),Mechanized borehole,Turbidity (NTU),0,Apr-20
OLA,Round 2 (April),Piped system,Turbidity (NTU),0.92,Apr-20
KPS,Round 2 (April),Piped system,Turbidity (NTU),0,Apr-20
NR,Round 2 (April),Piped system,Turbidity (NTU),0,Apr-20
NPS,Round 2 (April),Piped system,Turbidity (NTU),0,Apr-20
GN2C,Round 3 (May),Hand pump,Turbidity (NTU),0,May-20
GN2M,Round 3 (May),Mechanized borehole,Turbidity (NTU),0.02,May-20
DA1,Round 3 (May),Hand pump,Turbidity (NTU),0,May-20
DA2,Round 3 (May),Hand pump,Turbidity (NTU),0,May-20
DJ,Round 3 (May),Hand pump,Turbidity (NTU),0,May-20
KEN,Round 3 (May),Mechanized borehole,Turbidity (NTU),0.01,May-20
OLA,Round 3 (May),Piped system,Turbidity (NTU),4.19,May-20
KPS,Round 3 (May),Piped system,Turbidity (NTU),0.08,May-20
NR,Round 3 (May),Piped system,Turbidity (NTU),0,May-20
NPS,Round 3 (May),Piped system,Turbidity (NTU),0.44,May-20
GN2C,Round 4 (June),Hand pump,Turbidity (NTU),0,Jun-20
GN2M,Round 4 (June),Mechanized borehole,Turbidity (NTU),0.01,Jun-20
DA1,Round 4 (June),Hand pump,Turbidity (NTU),0,Jun-20
DA2,Round 4 (June),Hand pump,Turbidity (NTU),0.02,Jun-20
DJ,Round 4 (June),Hand pump,Turbidity (NTU),0,Jun-20
KEN,Round 4 (June),Mechanized borehole,Turbidity (NTU),0,Jun-20
OLA,Round 4 (June),Piped system,Turbidity (NTU),0.54,Jun-20
KPS,Round 4 (June),Piped system,Turbidity (NTU),0,Jun-20
NR,Round 4 (June),Piped system,Turbidity (NTU),0,Jun-20
NPS,Round 4 (June),Piped system,Turbidity (NTU),0.01,Jun-20
GN2C,Round 5 (July),Hand pump,Turbidity (NTU),0,Jul-20
GN2M,Round 5 (July),Mechanized borehole,Turbidity (NTU),0.04,Jul-20
DA1,Round 5 (July),Hand pump,Turbidity (NTU),0,Jul-20
DA2,Round 5 (July),Hand pump,Turbidity (NTU),0,Jul-20
DJ,Round 5 (July),Hand pump,Turbidity (NTU),0,Jul-20
KEN,Round 5 (July),Mechanized borehole,Turbidity (NTU),0,Jul-20
OLA,Round 5 (July),Piped system,Turbidity (NTU),5.27,Jul-20
KPS,Round 5 (July),Piped system,Turbidity (NTU),0,Jul-20
NR,Round 5 (July),Piped system,Turbidity (NTU),0,Jul-20
NPS,Round 5 (July),Piped system,Turbidity (NTU),0,Jul-20
GN2C,Round 1 (March),Hand pump,Conductivity (micromhos/cm),521,Mar-20
GN2M,Round 1 (March),Mechanized borehole,Conductivity (micromhos/cm),428,Mar-20
DA1,Round 1 (March),Hand pump,Conductivity (micromhos/cm),217,Mar-20
DA2,Round 1 (March),Hand pump,Conductivity (micromhos/cm),82,Mar-20
DJ,Round 1 (March),Hand pump,Conductivity (micromhos/cm),84,Mar-20
KEN,Round 1 (March),Mechanized borehole,Conductivity (micromhos/cm),94,Mar-20
OLA,Round 1 (March),Piped system,Conductivity (micromhos/cm),445,Mar-20
KPS,Round 1 (March),Piped system,Conductivity (micromhos/cm),531,Mar-20
NR,Round 1 (March),Piped system,Conductivity (micromhos/cm),159,Mar-20
NPS,Round 1 (March),Piped system,Conductivity (micromhos/cm),340,Mar-20
GN2C,Round 2 (April),Hand pump,Conductivity (micromhos/cm),520,Apr-20
GN2M,Round 2 (April),Mechanized borehole,Conductivity (micromhos/cm),472,Apr-20
DA1,Round 2 (April),Hand pump,Conductivity (micromhos/cm),791,Apr-20
DA2,Round 2 (April),Hand pump,Conductivity (micromhos/cm),691,Apr-20
DJ,Round 2 (April),Hand pump,Conductivity (micromhos/cm),97,Apr-20
KEN,Round 2 (April),Mechanized borehole,Conductivity (micromhos/cm),107,Apr-20
OLA,Round 2 (April),Piped system,Conductivity (micromhos/cm),392,Apr-20
KPS,Round 2 (April),Piped system,Conductivity (micromhos/cm),722,Apr-20
NR,Round 2 (April),Piped system,Conductivity (micromhos/cm),252,Apr-20
NPS,Round 2 (April),Piped system,Conductivity (micromhos/cm),494,Apr-20
GN2C,Round 3 (May),Hand pump,Conductivity (micromhos/cm),552,May-20
GN2M,Round 3 (May),Mechanized borehole,Conductivity (micromhos/cm),249,May-20
DA1,Round 3 (May),Hand pump,Conductivity (micromhos/cm),278,May-20
DA2,Round 3 (May),Hand pump,Conductivity (micromhos/cm),156,May-20
DJ,Round 3 (May),Hand pump,Conductivity (micromhos/cm),104,May-20
KEN,Round 3 (May),Mechanized borehole,Conductivity (micromhos/cm),75,May-20
OLA,Round 3 (May),Piped system,Conductivity (micromhos/cm),394,May-20
KPS,Round 3 (May),Piped system,Conductivity (micromhos/cm),514,May-20
NR,Round 3 (May),Piped system,Conductivity (micromhos/cm),260,May-20
NPS,Round 3 (May),Piped system,Conductivity (micromhos/cm),493,May-20
GN2C,Round 4 (June),Hand pump,Conductivity (micromhos/cm),513,Jun-20
GN2M,Round 4 (June),Mechanized borehole,Conductivity (micromhos/cm),460,Jun-20
DA1,Round 4 (June),Hand pump,Conductivity (micromhos/cm),233,Jun-20
DA2,Round 4 (June),Hand pump,Conductivity (micromhos/cm),686,Jun-20
DJ,Round 4 (June),Hand pump,Conductivity (micromhos/cm),107,Jun-20
KEN,Round 4 (June),Mechanized borehole,Conductivity (micromhos/cm),58,Jun-20
OLA,Round 4 (June),Piped system,Conductivity (micromhos/cm),388,Jun-20
KPS,Round 4 (June),Piped system,Conductivity (micromhos/cm),436,Jun-20
NR,Round 4 (June),Piped system,Conductivity (micromhos/cm),239,Jun-20
NPS,Round 4 (June),Piped system,Conductivity (micromhos/cm),477,Jun-20
GN2C,Round 5 (July),Hand pump,Conductivity (micromhos/cm),651,Jul-20
GN2M,Round 5 (July),Mechanized borehole,Conductivity (micromhos/cm),469,Jul-20
DA1,Round 5 (July),Hand pump,Conductivity (micromhos/cm),456,Jul-20
DA2,Round 5 (July),Hand pump,Conductivity (micromhos/cm),823,Jul-20
DJ,Round 5 (July),Hand pump,Conductivity (micromhos/cm),201,Jul-20
KEN,Round 5 (July),Mechanized borehole,Conductivity (micromhos/cm),148,Jul-20
OLA,Round 5 (July),Piped system,Conductivity (micromhos/cm),472,Jul-20
KPS,Round 5 (July),Piped system,Conductivity (micromhos/cm),627.5,Jul-20
NR,Round 5 (July),Piped system,Conductivity (micromhos/cm),251,Jul-20
NPS,Round 5 (July),Piped system,Conductivity (micromhos/cm),441,Jul-20
